Date,Open,High,Low,Close,Adj Close,Volume
2019-06-12,25.75,25.7675,25.125,25.389999,25.389999,10652800.0
2019-06-13,25.75,26.2787,25.6863,26.2013,26.2013,10310400.0
2019-06-14,26.1238,26.875,25.674999,26.446301000000002,26.446301000000002,11859200.0
2019-06-17,26.512501,26.9988,25.852501,25.9375,25.9375,11027200.0
2019-06-18,26.325001,26.5737,25.8787,26.012501,26.012501,8856000.0
2019-06-19,25.875,26.375,25.6362,26.25,26.25,20810400.0
2019-06-21,26.375,26.747498999999998,26.3587,26.5812,26.5812,9934400.0
2019-06-24,26.52,26.737499,26.077499,26.247498999999998,26.247498999999998,6773600.0
2019-06-25,26.125,26.3738,25.8125,25.8137,25.8137,8350400.0
2019-06-26,26.0,26.2575,25.875,26.0562,26.0562,5710400.0
2019-06-27,26.0362,26.1863,25.6838,26.0812,26.0812,5954400.0
2019-06-28,26.174999,26.389999,25.9237,26.389999,26.389999,8115200.0
2019-07-01,26.5,26.700001,26.1462,26.275,26.275,5714400.0
2019-07-02,26.3438,26.5625,26.125,26.557501000000002,26.557501000000002,5688800.0
2019-07-03,26.4788,27.6087,26.405001000000002,27.6063,27.6063,10816800.0
2019-07-04,27.827499,28.0,27.637501,27.637501,27.637501,9079200.0
2019-07-05,27.75,28.5212,27.557501000000002,28.26,28.26,7875200.0
2019-07-08,28.2612,28.9,28.15,28.674999,28.674999,7542400.0
2019-07-10,28.9062,29.4862,28.9062,29.1875,29.1875,8953600.0
2019-07-11,29.475,29.475,28.6437,28.8463,28.8463,8629600.0
2019-07-12,29.375,30.045,29.0,29.0063,29.0063,15444000.0
2019-07-15,29.375,29.4237,28.7537,28.8312,28.8312,7490400.0
2019-07-16,28.9813,29.2738,28.9312,29.25,29.25,5578400.0
2019-07-17,29.637501,31.3675,29.637501,30.5487,30.5487,20922400.0
2019-07-18,30.9387,31.3062,30.6388,30.875,30.875,9964800.0
2019-07-19,31.125,31.174999,29.7563,29.7563,29.7563,12112000.0
2019-07-22,30.125,30.9338,29.875,30.9188,30.9188,11978400.0
2019-07-23,31.127501000000002,31.1975,30.1688,30.25,30.25,9096800.0
2019-07-24,30.375,31.137501,30.375,30.7262,30.7262,6944800.0
2019-07-25,30.9625,31.032498999999998,30.2663,30.559998999999998,30.559998999999998,8982400.0
2019-07-26,30.7775,31.725,30.612499,31.5,31.5,9471200.0
2019-07-29,31.5,33.055,31.3312,32.974998,32.974998,11562400.0
2019-07-30,32.974998,33.93,32.877499,33.068699,33.068699,14125600.0
2019-07-31,33.487499,33.75,32.5425,32.965,32.965,12604800.0
2019-08-01,33.6875,34.904999,33.537498,34.5625,34.5625,19848800.0
2019-08-02,35.075001,35.598801,34.6875,35.443699,35.443699,11416800.0
2019-08-05,35.25,35.25,34.4137,34.5,34.5,14879200.0
2019-08-06,35.59,37.060001,35.529999,36.599998,36.599998,17456100.0
2019-08-07,36.900002,36.900002,35.240002000000004,36.310001,36.310001,11607900.0
2019-08-08,36.700001,37.34,36.549999,37.139998999999996,37.139998999999996,9756600.0
2019-08-09,37.150002,38.66,37.139998999999996,37.779999,37.779999,12072100.0
2019-08-12,37.77,37.77,35.970001,36.419998,36.419998,9684700.0
2019-08-13,37.599998,38.299999,37.419998,37.849998,37.849998,16111100.0
2019-08-14,37.369999,38.25,36.580002,36.950001,36.950001,13248900.0
2019-08-15,37.5,38.029999,36.110001000000004,36.310001,36.310001,10076700.0
2019-08-16,37.59,37.849998,36.400002,37.560001,37.560001,8958600.0
